,0,1,2,code
452,MEDIA PRIMA BERHAD,http://www.mediaprima.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=4502,4502
453,MEGA FIRST CORPORATION BERHAD,http://www.mega-first.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=3069,3069
454,MELATI EHSAN HOLDINGS BERHAD,http://www.melatiehsan.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5129,5129
455,MELEWAR INDUSTRIAL GROUP BERHAD,http://www.melewar-mig.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=3778,3778
456,MENANG CORPORATION (M) BERHAD,http://www.menangcorporation.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=1694,1694
457,MENTIGA CORPORATION BERHAD,http://www.mentiga.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5223,5223
458,MERCURY INDUSTRIES BERHAD,http://www.mercury.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=8192,8192
459,MERIDIAN BERHAD,http://www.meda.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5040,5040
460,MESB BERHAD,http://www.mesbbhd.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7234,7234
461,MESINIAGA BERHAD,http://www.mesiniaga.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5011,5011
462,METROD HOLDINGS BERHAD,http://www.metrod.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=6149,6149
463,METRONIC GLOBAL BERHAD,http://www.metronic-group.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=0043,0043
464,MGB BERHAD,http://www.mgbgroup.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7595,7595
465,MHC PLANTATIONS BHD,http://www.mhc.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5026,5026
466,MI TECHNOVATION BERHAD,https://www.mi-eq.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5286,5286
467,MIECO CHIPBOARD BERHAD,http://www.mieco.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5001,5001
468,MILUX CORPORATION BERHAD,http://www.milux.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7935,7935
469,MINDA GLOBAL BERHAD,http://www.mindaglobal.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5166,5166
470,MINETECH RESOURCES BERHAD,http://www.minetech.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7219,7219
471,MINHO (M) BERHAD,http://www.minhobhd.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5576,5576
472,MISC BERHAD,http://www.misc.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=3816,3816
473,MITRAJAYA HOLDINGS BERHAD,http://www.mitrajaya.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=9571,9571
474,MK LAND HOLDINGS BERHAD,http://www.mkland.com.my/corporate/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=8893,8893
475,MKH BERHAD,http://www.mkhberhad.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=6114,6114
476,MMC CORPORATION BERHAD,http://www.mmc.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=2194,2194
477,MMS VENTURES BERHAD,http://www.mmsv.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=0113,0113
478,MNRB HOLDINGS BERHAD,http://www.mnrb.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=6459,6459
479,MPHB Capital Berhad,http://www.mphbcap.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5237,5237
480,MR D.I.Y. GROUP (M) BERHAD,https://www.mrdiy.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5296,5296
481,QUILL CAPITA TRUST,http://www.qct.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5123,5123
482,MSM MALAYSIA HOLDINGS BERHAD,http://www.msmholdings.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5202,5202
483,MTD ACPI ENGINEERING BERHAD,http://www.mtdgrp.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5924,5924
484,MUAR BAN LEE GROUP BERHAD,http://www.mbl.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5152,5152
485,MUDA HOLDINGS BERHAD,http://www.muda.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=3883,3883
486,MUDAJAYA GROUP BERHAD,http://www.mudajaya.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5085,5085
487,MUHIBBAH ENGINEERING (M) BHD,http://www.muhibbah.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5703,5703
488,MUI PROPERTIES BERHAD,http://www.muiproperties.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=3913,3913
489,MULPHA INTERNATIONAL BERHAD,http://www.mulpha.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=3905,3905
490,MULTI-USAGE HOLDINGS BERHAD,http://www.muh.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=9539,9539
491,MY E.G. SERVICES BERHAD,http://www.myeg.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=0138,0138
492,MYCRON STEEL BERHAD,http://www.mycronsteel.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5087,5087
493,MYNEWS HOLDINGS BERHAD,http://www.bisonconsolidated.com/home/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5275,5275
494,NAIM HOLDINGS BERHAD,https://www.naim.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5073,5073
495,NATIONWIDE EXPRESS HOLDINGS BERHAD,http://www.nationwide2u.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=9806,9806
496,NEGRI SEMBILAN OIL PALMS BERHAD,http://www.nsop.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=2038,2038
497,NESTLE (MALAYSIA) BERHAD,http://www.nestle.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=4707,4707
498,NEW HOONG FATT HOLDINGS BERHAD,http://www.newhoongfatt.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7060,7060
499,NEXTGREEN GLOBAL BERHAD,http://www.bhs.listedcompany.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7241,7241
500,NI HSIN RESOURCES BERHAD,http://www.ni-hsin.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7215,7215
501,NICHE CAPITAL EMAS HOLDINGS BERHAD,http://www.yikon.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7139,7139
502,NOTION VTEC BERHAD,http://www.notionvtec.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=0083,0083
503,NPC RESOURCES BERHAD,http://www.npc.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5047,5047
