company,official_site,bursa_site,code
TIGER SYNERGY BERHAD,http://www.tigersynergy.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7079,7079
TIMBERWELL BERHAD,http://timwell.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7854,7854
TIME DOTCOM BERHAD,http://www.time.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5031,5031
TIONG NAM LOGISTICS HOLDINGS BERHAD,http://www.tiongnam.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=8397,8397
TITIJAYA LAND BERHAD,http://www.titijaya.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5239,5239
TMC LIFE SCIENCES BERHAD,http://www.tmclife.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=0101,0101
TOMEI CONSOLIDATED BERHAD,http://www.tomei.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7230,7230
TOMYPAK HOLDINGS BERHAD,http://www.tomypak.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7285,7285
TONG HERR RESOURCES BERHAD,http://tong.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5010,5010
IKHMAS JAYA GROUP BERHAD,http://www.ikhmasjaya.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5268,5268
TOP GLOVE CORPORATION BHD,http://www.topglove.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7113,7113
TOWER REAL ESTATE INVESTMENT TRUST,http://www.tower-reit.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5111,5111
TOYO VENTURES HOLDINGS BERHAD,http://www.toyoventures.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7173,7173
TPC PLUS BERHAD,http://www.tpc.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7176,7176
TRANSOCEAN HOLDINGS BHD,http://www.transocean.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7218,7218
TRC SYNERGY BERHAD,http://www.trc.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5054,5054
TRIVE PROPERTY GROUP BERHAD,http://www.etitech.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=0118,0118
TROPICANA CORPORATION BERHAD,http://www.dijaya.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5401,5401
TSH RESOURCES BERHAD,http://www.tsh.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=9059,9059
TSR CAPITAL BERHAD,http://www.tsrcap.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5042,5042
TUNE PROTECT GROUP BERHAD,http://www.tuneinsurance.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5230,5230
TURBO-MECH BERHAD,http://www.turbomech.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5167,5167
TURIYA BERHAD,http://www.turiya.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=4359,4359
UCHI TECHNOLOGIES BERHAD,http://www.uchi.net/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7100,7100
UEM EDGENTA BERHAD,http://www.uemedgenta.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=1368,1368
UEM SUNRISE BERHAD,http://www.uemsunrise.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5148,5148
UMS HOLDINGS BERHAD,http://www.umsh.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7137,7137
UMS-NEIKEN GROUP BERHAD,http://www.ums-neiken.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7227,7227
UMW HOLDINGS BERHAD,http://www.umw.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=4588,4588
UNIMECH GROUP BERHAD,http://www.unimechgroup.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7091,7091
UNISEM (M) BERHAD,http://www.unisemgroup.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5005,5005
UNITED MALACCA BERHAD,http://www.unitedmalacca.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=2593,2593
UNITED PLANTATIONS BERHAD,http://www.unitedplantations.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=2089,2089
UNITED U-LI CORPORATION BERHAD,http://www.uli.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7133,7133
UOA DEVELOPMENT BHD,http://www.uoadev.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5200,5200
UOA REAL ESTATE INVESTMENT TRUST,http://www.uoareit.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5110,5110
UPA CORPORATION BHD,http://www.upa.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7757,7757
UWC BERHAD,https://www.uwcberhad.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5292,5292
UZMA BERHAD,http://www.uzmagroup.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7250,7250
V.S. INDUSTRY BERHAD,http://www.vs-i.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=6963,6963
VELESTO ENERGY BERHAD,http://www.velesto.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5243,5243
VERSATILE CREATIVE BERHAD,http://www.vc-b.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=4995,4995
VERTICE BERHAD,http://www.voir.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7240,7240
VITROX CORPORATION BERHAD,http://www.vitrox.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=0097,0097
VIZIONE HOLDINGS BERHAD,http://www.vizione.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7070,7070
VSTECS BERHAD,http://www.ecsm.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5162,5162
WAH SEONG CORPORATION BERHAD,http://www.wahseong.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5142,5142
WANG-ZHENG BERHAD,http://www.wangzhengberhad.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7203,7203
WARISAN TC HOLDINGS BERHAD,http://www.warisantc.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5016,5016
WATTA HOLDING BERHAD,http://www.watta.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7226,7226
WCE HOLDINGS BERHAD,http://www.wcehb.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=3565,3565
WCT HOLDINGS BERHAD,http://www.wct.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=9679,9679
WEGMANS HOLDINGS BERHAD,http://wegmans.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=0197,0197
WELLCALL HOLDINGS BERHAD,http://wellcallholdings.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7231,7231
WESTPORTS HOLDINGS BERHAD,http://www.westportsmalaysia.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5246,5246
WHITE HORSE BERHAD,http://www.whitehorse.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5009,5009
WIDETECH (MALAYSIA) BERHAD,http://www.widetechbhd.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7692,7692
WILLOWGLEN MSC BERHAD,http://www.willowglen.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=0008,0008
WMG HOLDINGS BERHAD,http://www.wmghb.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=6378,6378
WONG ENGINEERING CORPORATION BERHAD,http://www.wec.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7050,7050
WOODLANDOR HOLDINGS BHD,http://www.woodlandor.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7025,7025
WTK HOLDINGS BERHAD,http://www.wtkholdings.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=4243,4243
WZ SATU BERHAD,http://www.wengzheng.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7245,7245
XIAN LENG HOLDINGS BERHAD,http://www.xianleng.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7121,7121
XIDELANG HOLDINGS LTD,http://www.xidelang.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5156,5156
XIN HWA HOLDINGS BERHAD,http://www.xinhwa.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5267,5267
Y&G CORPORATION BHD,http://www.ygcorp.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7003,7003
Y.S.P.SOUTHEAST ASIA HOLDING BERHAD,http://www.yspsah.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7178,7178
YI-LAI BERHAD,http://www.alpha-tiles.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5048,5048
YINSON HOLDINGS BERHAD,http://www.yinson.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7293,7293
YKGI HOLDINGS BERHAD,http://ykgigroup.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7020,7020
YLI HOLDINGS BERHAD,http://www.yli.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7014,7014
YNH PROPERTY BERHAD,http://www.ynhb.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=3158,3158
YONG TAI BERHAD,http://www.yongtai.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7066,7066
YOONG ONN CORPORATION BERHAD,http://yoongonn.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5159,5159
YTL CORPORATION BERHAD,http://www.ytl.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=4677,4677
YTL HOSPITALITY REIT,http://www.starhillreit.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5109,5109
YTL POWER INTERNATIONAL BHD,http://www.ytl.com.my/index.asp,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=6742,6742
ZECON BERHAD,http://www.zecon.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7028,7028
ZELAN BERHAD,http://www.zelan.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=2283,2283
ZHULIAN CORPORATION BERHAD,http://www.zhulian.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5131,5131
